condicao,metrica,N,sigma_media,sigma_min,sigma_max
sem_smoothing,accuracy,10,2.2126,1.5504,3.1105
sem_smoothing,accuracy,20,2.3062,2.0105,2.7309
sem_smoothing,accuracy,30,2.1359,1.7202,2.4378
sem_smoothing,accuracy,40,2.1359,1.7267,2.3367
sem_smoothing,accuracy,50,2.1526,2.0072,2.3094
sem_smoothing,accuracy,60,2.1169,2.0125,2.2176
sem_smoothing,accuracy,70,2.1156,1.9935,2.2247
sem_smoothing,accuracy,80,2.1283,2.0180,2.1821
sem_smoothing,accuracy,90,2.0958,1.9817,2.1504
sem_smoothing,accuracy,100,2.1001,1.9793,2.2218
sem_smoothing,accuracy,110,2.0862,1.9706,2.1722
sem_smoothing,accuracy,120,2.0966,1.9631,2.1879
sem_smoothing,accuracy,130,2.1093,1.9735,2.1903
sem_smoothing,accuracy,140,2.1156,2.0212,2.1947
sem_smoothing,accuracy,150,2.1263,2.0332,2.1854
sem_smoothing,accuracy,160,2.1103,2.0000,2.1664
sem_smoothing,accuracy,170,2.1126,2.0334,2.1637
sem_smoothing,accuracy,180,2.1136,2.0609,2.1627
sem_smoothing,accuracy,190,2.1122,2.0654,2.2018
sem_smoothing,accuracy,200,2.1167,2.0458,2.1855
sem_smoothing,accuracy,210,2.1072,2.0445,2.1832
sem_smoothing,accuracy,220,2.0958,2.0374,2.1687
sem_smoothing,accuracy,230,2.0917,2.0283,2.1582
sem_smoothing,accuracy,240,2.0876,2.0335,2.1711
sem_smoothing,accuracy,250,2.0959,2.0355,2.1925
sem_smoothing,accuracy,260,2.0794,2.0219,2.1697
sem_smoothing,accuracy,270,2.0888,2.0127,2.1973
sem_smoothing,accuracy,280,2.0975,2.0022,2.1899
sem_smoothing,accuracy,290,2.1122,2.0511,2.1939
sem_smoothing,accuracy,300,2.1203,2.0573,2.1933
sem_smoothing,accuracy,310,2.1191,2.0523,2.1864
sem_smoothing,accuracy,320,2.1162,2.0469,2.1853
sem_smoothing,accuracy,330,2.1097,2.0483,2.1841
sem_smoothing,accuracy,340,2.1103,2.0482,2.1901
sem_smoothing,accuracy,350,2.1116,2.0541,2.1890
sem_smoothing,accuracy,360,2.1059,2.0447,2.1802
sem_smoothing,accuracy,370,2.0946,2.0247,2.1721
sem_smoothing,accuracy,380,2.0935,2.0124,2.1917
sem_smoothing,accuracy,390,2.0913,2.0159,2.1907
sem_smoothing,accuracy,400,2.1001,2.0138,2.2088
sem_smoothing,accuracy,410,2.1030,2.0053,2.2013
sem_smoothing,accuracy,420,2.1108,2.0061,2.2175
sem_smoothing,accuracy,430,2.1183,1.9993,2.2158
sem_smoothing,accuracy,440,2.1167,2.0040,2.2141
sem_smoothing,accuracy,450,2.1140,2.0060,2.2121
sem_smoothing,accuracy,460,2.1203,2.0075,2.2256
sem_smoothing,accuracy,470,2.1235,2.0062,2.2243
sem_smoothing,accuracy,480,2.1172,2.0014,2.2270
sem_smoothing,accuracy,490,2.1123,2.0043,2.2202
sem_smoothing,accuracy,500,2.1070,2.0041,2.2132
sem_smoothing,sensitivity,10,9.9642,7.6947,11.9756
sem_smoothing,sensitivity,20,10.0435,9.1314,11.4504
sem_smoothing,sensitivity,30,9.9024,8.9699,11.3185
