FPR,TPR_XGBoost_SMOTE,TPR_XGB_IC95_inf,TPR_XGB_IC95_sup,TPR_SVM_SMOTE,TPR_SVM_IC95_inf,TPR_SVM_IC95_sup,TPR_Aleatorio
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0101,0.2250,0.0963,0.3537,0.0400,0.0000,0.1003,0.0101
0.0202,0.2250,0.0963,0.3537,0.0400,0.0000,0.1003,0.0202
0.0303,0.2250,0.0963,0.3537,0.0400,0.0000,0.1003,0.0303
0.0404,0.2750,0.1212,0.4288,0.0400,0.0000,0.1003,0.0404
0.0505,0.3150,0.1759,0.4541,0.0900,0.0060,0.1740,0.0505
0.0606,0.3150,0.1759,0.4541,0.0900,0.0060,0.1740,0.0606
0.0707,0.3150,0.1759,0.4541,0.0900,0.0060,0.1740,0.0707
0.0808,0.3400,0.1961,0.4839,0.0900,0.0060,0.1740,0.0808
0.0909,0.4400,0.3022,0.5778,0.1750,0.0398,0.3102,0.0909
0.1010,0.4400,0.3022,0.5778,0.1750,0.0398,0.3102,0.1010
0.1111,0.4400,0.3022,0.5778,0.1750,0.0398,0.3102,0.1111
0.1212,0.4650,0.3104,0.6196,0.1750,0.0398,0.3102,0.1212
0.1313,0.4900,0.3452,0.6348,0.2200,0.0748,0.3652,0.1313
0.1414,0.4900,0.3452,0.6348,0.2200,0.0748,0.3652,0.1414
0.1515,0.4900,0.3452,0.6348,0.2200,0.0748,0.3652,0.1515
0.1616,0.5400,0.3364,0.7436,0.2450,0.1107,0.3793,0.1616
0.1717,0.6000,0.4208,0.7792,0.2950,0.1401,0.4499,0.1717
0.1818,0.6000,0.4208,0.7792,0.2950,0.1401,0.4499,0.1818
0.1919,0.6000,0.4208,0.7792,0.2950,0.1401,0.4499,0.1919
0.2020,0.6000,0.4208,0.7792,0.2950,0.1401,0.4499,0.2020
0.2121,0.6000,0.4208,0.7792,0.3400,0.1601,0.5199,0.2121
0.2222,0.6000,0.4208,0.7792,0.3400,0.1601,0.5199,0.2222
0.2323,0.6000,0.4208,0.7792,0.3400,0.1601,0.5199,0.2323
0.2424,0.6000,0.4208,0.7792,0.4650,0.2764,0.6536,0.2424
0.2525,0.6250,0.4260,0.8240,0.5300,0.3436,0.7164,0.2525
0.2626,0.6250,0.4260,0.8240,0.5300,0.3436,0.7164,0.2626
0.2727,0.6250,0.4260,0.8240,0.5300,0.3436,0.7164,0.2727
0.2828,0.6250,0.4260,0.8240,0.5550,0.3819,0.7281,0.2828
0.2929,0.6650,0.4598,0.8702,0.5800,0.4022,0.7578,0.2929
0.3030,0.6650,0.4598,0.8702,0.5800,0.4022,0.7578,0.3030
0.3131,0.6650,0.4598,0.8702,0.5800,0.4022,0.7578,0.3131
0.3232,0.6650,0.4598,0.8702,0.5800,0.4022,0.7578,0.3232
0.3333,0.6850,0.4898,0.8802,0.6650,0.4905,0.8395,0.3333
0.3434,0.6850,0.4898,0.8802,0.6650,0.4905,0.8395,0.3434
0.3535,0.6850,0.4898,0.8802,0.6650,0.4905,0.8395,0.3535
0.3636,0.6850,0.4898,0.8802,0.6650,0.4905,0.8395,0.3636
0.3737,0.6850,0.4898,0.8802,0.6650,0.4905,0.8395,0.3737
0.3838,0.7050,0.5215,0.8885,0.7100,0.5201,0.8999,0.3838
0.3939,0.7050,0.5215,0.8885,0.7100,0.5201,0.8999,0.3939
0.4040,0.7300,0.5753,0.8847,0.7100,0.5201,0.8999,0.4040
0.4141,0.7300,0.5753,0.8847,0.7100,0.5201,0.8999,0.4141
0.4242,0.7700,0.5946,0.9454,0.7500,0.5764,0.9236,0.4242
0.4343,0.7700,0.5946,0.9454,0.7500,0.5764,0.9236,0.4343
0.4444,0.7700,0.5946,0.9454,0.7500,0.5764,0.9236,0.4444
0.4545,0.7700,0.5946,0.9454,0.7500,0.5764,0.9236,0.4545
0.4646,0.7700,0.5946,0.9454,0.7700,0.6004,0.9396,0.4646
0.4747,0.7700,0.5946,0.9454,0.7700,0.6004,0.9396,0.4747
0.4848,0.7700,0.5946,0.9454,0.8200,0.7105,0.9295,0.4848
0.4949,0.7700,0.5946,0.9454,0.8200,0.7105,0.9295,0.4949
0.5051,0.8100,0.6333,0.9867,0.8400,0.7234,0.9566,0.5051
0.5152,0.8100,0.6333,0.9867,0.8400,0.7234,0.9566,0.5152
0.5253,0.8100,0.6333,0.9867,0.8400,0.7234,0.9566,0.5253
0.5354,0.8100,0.6333,0.9867,0.8400,0.7234,0.9566,0.5354
0.5455,0.8850,0.7459,1.0000,0.8400,0.7234,0.9566,0.5455
0.5556,0.8850,0.7459,1.0000,0.8400,0.7234,0.9566,0.5556
0.5657,0.8850,0.7459,1.0000,0.8650,0.7806,0.9494,0.5657
0.5758,0.8850,0.7459,1.0000,0.8650,0.7806,0.9494,0.5758
0.5859,0.9100,0.7732,1.0000,0.8850,0.7973,0.9727,0.5859
0.5960,0.9100,0.7732,1.0000,0.8850,0.7973,0.9727,0.5960
0.6061,0.9100,0.7732,1.0000,0.8850,0.7973,0.9727,0.6061
0.6162,0.9100,0.7732,1.0000,0.8850,0.7973,0.9727,0.6162
0.6263,0.9500,0.8369,1.0000,0.8850,0.7973,0.9727,0.6263
0.6364,0.9500,0.8369,1.0000,0.8850,0.7973,0.9727,0.6364
0.6465,0.9500,0.8369,1.0000,0.9100,0.8260,0.9940,0.6465
0.6566,0.9500,0.8369,1.0000,0.9100,0.8260,0.9940,0.6566
0.6667,0.9500,0.8369,1.0000,0.9100,0.8260,0.9940,0.6667
0.6768,0.9500,0.8369,1.0000,0.9100,0.8260,0.9940,0.6768
0.6869,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.6869
0.6970,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.6970
0.7071,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7071
0.7172,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7172
0.7273,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7273
0.7374,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7374
0.7475,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7475
0.7576,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7576
0.7677,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7677
0.7778,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7778
0.7879,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7879
0.7980,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.7980
0.8081,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.8081
0.8182,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.8182
0.8283,0.9750,0.9184,1.0000,0.9100,0.8260,0.9940,0.8283
0.8384,0.9750,0.9184,1.0000,0.9350,0.8595,1.0000,0.8384
0.8485,0.9750,0.9184,1.0000,0.9350,0.8595,1.0000,0.8485
0.8586,0.9750,0.9184,1.0000,0.9350,0.8595,1.0000,0.8586
0.8687,0.9750,0.9184,1.0000,0.9350,0.8595,1.0000,0.8687
0.8788,0.9750,0.9184,1.0000,0.9750,0.9184,1.0000,0.8788
0.8889,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.8889
0.8990,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.8990
0.9091,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9091
0.9192,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9192
0.9293,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9293
0.9394,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9394
0.9495,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9495
0.9596,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9596
0.9697,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9697
0.9798,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9798
0.9899,0.9750,0.9184,1.0000,1.0000,1.0000,1.0000,0.9899
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000

# ============================================================================
# Curva ROC media (10-Fold Stratified CV, random_state=42) - GAD
# Pontos interpolados em 100 valores de FPR; banda = IC 95% da TPR entre folds.
#
# AUC (media dos 10 folds):
#   XGBoost + SMOTE ... 0.751 +/- 0.103 (IC 95%)  <- VALOR OFICIAL DA DISSERTACAO
#   SVM + SMOTE ....... 0.678 +/- 0.069 (IC 95%)  <- VALOR OFICIAL DA DISSERTACAO
#   Aleatorio ......... 0.500
#
# ATENCAO: se voce desenhar a curva a partir DESTES pontos, a area sob a curva
# media da 0.761 (XGB) e 0.679 (SVM). A diferenca de ~0.01 no XGBoost vem da
# versao mais nova do xgboost usada para exportar os pontos (2.1.4). Use sempre
# os VALORES OFICIAIS acima nos rotulos/legenda do slide - a forma da curva e
# visualmente identica.
#
# Fonte dos valores oficiais: output/plots/Comparativo/GAD/comparativo_gad_auc_ic95.txt
#
# AUC por fold - XGBoost + SMOTE (oficial):
#   0.7917  0.6833  0.8000  0.6583  0.9600  0.8900  0.4700  0.8854  0.6667  0.7083
#   (o fold 7, com AUC 0.47, e o "fold pior que o acaso" citado no slide)
# AUC por fold - SVM + SMOTE (oficial):
#   0.6333  0.6500  0.7000  0.7000  0.7600  0.5400  0.5300  0.8125  0.6667  0.7917
# ============================================================================
