condicao,metrica,N,sigma_media,sigma_min,sigma_max
sem_smoothing,accuracy,10,4.7571,3.3333,6.6875
sem_smoothing,accuracy,20,4.9582,4.3225,5.8714
sem_smoothing,accuracy,30,4.5922,3.6984,5.2413
sem_smoothing,accuracy,40,4.5922,3.7124,5.0240
sem_smoothing,accuracy,50,4.6282,4.3154,4.9652
sem_smoothing,accuracy,60,4.5514,4.3269,4.7679
sem_smoothing,accuracy,70,4.5485,4.2860,4.7831
sem_smoothing,accuracy,80,4.5757,4.3388,4.6914
sem_smoothing,accuracy,90,4.5059,4.2606,4.6235
sem_smoothing,accuracy,100,4.5153,4.2554,4.7768
sem_smoothing,accuracy,110,4.4853,4.2368,4.6703
sem_smoothing,accuracy,120,4.5078,4.2206,4.7039
sem_smoothing,accuracy,130,4.5350,4.2429,4.7092
sem_smoothing,accuracy,140,4.5485,4.3455,4.7186
sem_smoothing,accuracy,150,4.5715,4.3715,4.6985
sem_smoothing,accuracy,160,4.5372,4.3001,4.6577
sem_smoothing,accuracy,170,4.5421,4.3719,4.6519
sem_smoothing,accuracy,180,4.5441,4.4310,4.6497
sem_smoothing,accuracy,190,4.5412,4.4407,4.7339
sem_smoothing,accuracy,200,4.5510,4.3985,4.6989
sem_smoothing,accuracy,210,4.5306,4.3956,4.6939
sem_smoothing,accuracy,220,4.5060,4.3804,4.6627
sem_smoothing,accuracy,230,4.4972,4.3608,4.6401
sem_smoothing,accuracy,240,4.4883,4.3720,4.6678
sem_smoothing,accuracy,250,4.5062,4.3763,4.7139
sem_smoothing,accuracy,260,4.4707,4.3470,4.6649
sem_smoothing,accuracy,270,4.4910,4.3273,4.7243
sem_smoothing,accuracy,280,4.5097,4.3047,4.7083
sem_smoothing,accuracy,290,4.5412,4.4099,4.7169
sem_smoothing,accuracy,300,4.5587,4.4231,4.7155
sem_smoothing,accuracy,310,4.5560,4.4125,4.7007
sem_smoothing,accuracy,320,4.5498,4.4008,4.6985
sem_smoothing,accuracy,330,4.5358,4.4039,4.6959
sem_smoothing,accuracy,340,4.5371,4.4036,4.7087
sem_smoothing,accuracy,350,4.5399,4.4163,4.7064
sem_smoothing,accuracy,360,4.5278,4.3962,4.6875
sem_smoothing,accuracy,370,4.5034,4.3531,4.6699
sem_smoothing,accuracy,380,4.5010,4.3267,4.7122
sem_smoothing,accuracy,390,4.4962,4.3342,4.7100
sem_smoothing,accuracy,400,4.5152,4.3296,4.7489
sem_smoothing,accuracy,410,4.5214,4.3114,4.7327
sem_smoothing,accuracy,420,4.5382,4.3132,4.7676
sem_smoothing,accuracy,430,4.5544,4.2986,4.7639
sem_smoothing,accuracy,440,4.5508,4.3087,4.7603
sem_smoothing,accuracy,450,4.5450,4.3128,4.7559
sem_smoothing,accuracy,460,4.5587,4.3161,4.7850
sem_smoothing,accuracy,470,4.5656,4.3133,4.7821
sem_smoothing,accuracy,480,4.5520,4.3029,4.7880
sem_smoothing,accuracy,490,4.5415,4.3093,4.7734
