scenario,modo,n_drops,drops,rationale,n_amostras,n_features,accuracy,accuracy_ic,sensitivity,sensitivity_ic,specificity,specificity_ic,f1,f1_ic,kappa,kappa_ic,auc,auc_ic,delta_accuracy,delta_sensitivity,delta_specificity,delta_f1,delta_kappa,delta_auc
sem_4_mais_cd,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,287,12,85.72660098522167,2.6826008542891246,41.5,14.312105013900027,93.83333333333334,2.850920848720084,45.43650793650794,10.230146557055546,0.3789893370544479,0.10864604333180147,0.7330833333333334,0.08302382079140434,2.1059113300492527,5.5,1.65000000000002,6.198412698412703,0.07481893472488937,-0.027833333333333266
sem_social_phobia,mesmas_linhas_baseline,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,287,16,84.69211822660098,3.4796101636503667,44.0,13.780810248058723,92.18333333333332,3.251302942839575,45.93795093795094,10.559414976803131,0.3742039042647415,0.12062861318363961,0.74125,0.11974926726708232,1.0714285714285694,8.0,0.0,6.6998556998557035,0.07003350193518298,-0.01966666666666672
sem_irritable_mood,mesmas_linhas_baseline,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,85.38177339901479,3.4309422394694975,39.5,12.555594954333642,93.85,3.1601552995380424,44.76984126984128,11.092780633675224,0.36850284204722106,0.12942121120144987,0.783625,0.08642274707951011,1.7610837438423772,3.5,1.6666666666666714,5.531746031746046,0.06433243971766256,0.02270833333333333
sem_4_fracas_redundantes,mesmas_linhas_baseline,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,287,13,85.01231527093596,3.3420703279144997,39.0,11.898745976565834,93.4,3.734145792134823,43.66666666666667,9.294316669288968,0.35796236689267297,0.1048831034558827,0.7394583333333333,0.0820762405324632,1.3916256157635445,3.0,1.2166666666666828,4.428571428571438,0.05379196456311447,-0.021458333333333357
sem_number_siblings,mesmas_linhas_baseline,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,85.01231527093596,3.5385903911148406,36.0,13.98558833677457,93.81666666666666,3.220553147360236,41.24747474747474,13.55471447176375,0.33289466527345934,0.14758275386355782,0.7498333333333334,0.1088731093332677,1.3916256157635445,0.0,1.63333333333334,2.0093795093795066,0.028724262943900847,-0.011083333333333334
sem_bio_parents,mesmas_linhas_baseline,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,83.97783251231526,3.5127610974049013,38.5,11.190757323378898,92.15,3.5437119629622247,41.993506493506494,9.164894458474983,0.3310216229112237,0.10443585089172372,0.7218333333333333,0.09536831428375266,0.357142857142847,2.5,-0.03333333333331723,2.7554112554112606,0.026851220581665225,-0.03908333333333336
sem_sensory,mesmas_linhas_baseline,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,84.64285714285714,3.4442379869556112,38.0,17.211565783070107,92.98333333333332,2.4681381129876137,41.002164502164504,17.301927006039115,0.32635639646666875,0.18499272943269904,0.7532083333333334,0.10231533259415111,1.022167487684726,2.0,0.7999999999999972,1.7640692640692706,0.022185994137110254,-0.007708333333333317
sem_cd,mesmas_linhas_baseline,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,83.6206896551724,3.321610184030551,41.0,16.1550334726381,91.38333333333333,3.7844992143299234,41.523809523809526,13.05247297203619,0.3248523200308127,0.1406783365953696,0.7493333333333333,0.09192365021816185,-1.4210854715202004e-14,5.0,-0.7999999999999972,2.285714285714292,0.020681917701254215,-0.01158333333333339
sem_4_e_sensiveis,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Race; Sex,Primeira limpeza + retirada de variaveis sensiveis remanescentes.,287,11,83.2512315270936,3.3379263277141393,41.5,17.92758560430701,90.91666666666666,3.080585747495719,40.64502164502164,14.95319614716025,0.31451680943369886,0.15980329896442544,0.7161666666666667,0.10567068535369663,-0.3694581280788185,5.5,-1.2666666666666657,1.4069264069264094,0.010346407104140365,-0.044749999999999956
sem_family_history_psych,mesmas_linhas_baseline,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,83.95320197044333,2.7321631071332333,38.5,16.351813363932223,92.2,3.214343320444534,40.16017316017316,12.91273206093906,0.3144530286318216,0.136875806007086,0.7439583333333333,0.10403153035452187,0.3325123152709182,2.5,0.01666666666667993,0.9220779220779249,0.01028262630226312,-0.01695833333333341
