scenario,modo,n_drops,drops,rationale,n_amostras,n_features,accuracy,accuracy_ic,sensitivity,sensitivity_ic,specificity,specificity_ic,f1,f1_ic,kappa,kappa_ic,auc,auc_ic
baseline,amostras_validas,0,,Todas as features atuais; referencia para comparacao.,287,17,83.62068965517241,3.8971742879566826,36.0,13.98558833677457,92.18333333333332,4.521328549790758,39.238095238095234,12.407710806672007,0.3041704023295585,0.13704984883769974,0.7609166666666667,0.09956799466934065
sem_poverty_status,amostras_validas,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,306,16,83.33333333333333,4.197767448591103,34.5,17.396398779395835,91.92307692307692,4.388801236589422,36.26984126984127,16.1820309880314,0.278281046043738,0.17130458975259555,0.7461538461538462,0.07464850471003302
sem_poverty_status,mesmas_linhas_baseline,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,287,16,82.90640394088669,2.2548076275439026,34.0,18.684681747605122,91.8,2.3395885460559493,34.21428571428571,15.729683889895671,0.25165427511558974,0.16025611372774856,0.7274999999999999,0.10538464764073932
sem_number_siblings,amostras_validas,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,85.01231527093596,3.5385903911148406,36.0,13.98558833677457,93.81666666666666,3.220553147360236,41.24747474747474,13.55471447176375,0.33289466527345934,0.14758275386355782,0.7498333333333334,0.1088731093332677
sem_number_siblings,mesmas_linhas_baseline,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,85.01231527093596,3.5385903911148406,36.0,13.98558833677457,93.81666666666666,3.220553147360236,41.24747474747474,13.55471447176375,0.33289466527345934,0.14758275386355782,0.7498333333333334,0.1088731093332677
sem_family_history_psych,amostras_validas,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,83.95320197044333,2.7321631071332333,38.5,16.351813363932223,92.2,3.214343320444534,40.16017316017316,12.91273206093906,0.3144530286318216,0.136875806007086,0.7439583333333333,0.10403153035452187
sem_family_history_psych,mesmas_linhas_baseline,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,83.95320197044333,2.7321631071332333,38.5,16.351813363932223,92.2,3.214343320444534,40.16017316017316,12.91273206093906,0.3144530286318216,0.136875806007086,0.7439583333333333,0.10403153035452187
sem_bio_parents,amostras_validas,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,83.97783251231526,3.5127610974049013,38.5,11.190757323378898,92.15,3.5437119629622247,41.993506493506494,9.164894458474983,0.3310216229112237,0.10443585089172372,0.7218333333333333,0.09536831428375266
sem_bio_parents,mesmas_linhas_baseline,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,83.97783251231526,3.5127610974049013,38.5,11.190757323378898,92.15,3.5437119629622247,41.993506493506494,9.164894458474983,0.3310216229112237,0.10443585089172372,0.7218333333333333,0.09536831428375266
sem_4_fracas_redundantes,amostras_validas,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,306,13,84.30107526881719,3.480628505762484,37.0,17.538811156130244,92.6923076923077,3.0278992501954205,39.09018759018759,16.119903532278542,0.3085485729913303,0.17178358226091062,0.7350000000000001,0.08217811890933414
sem_4_fracas_redundantes,mesmas_linhas_baseline,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,287,13,85.01231527093596,3.3420703279144997,39.0,11.898745976565834,93.4,3.734145792134823,43.66666666666667,9.294316669288968,0.35796236689267297,0.1048831034558827,0.7394583333333333,0.0820762405324632
sem_status_race_bio,amostras_validas,3,Poverty Status; Race; Number of Bio. Parents,Bloco socioeconomico/demografico correlacionado e sensivel.,306,14,83.00000000000001,4.688334449553829,42.0,19.16539517239357,90.38461538461537,3.9447005047031634,40.686868686868685,17.415020074177985,0.31463813752186715,0.1913453190861764,0.6984615384615385,0.10557848829838694
sem_status_race_bio,mesmas_linhas_baseline,3,Poverty Status; Race; Number of Bio. Parents,Bloco socioeconomico/demografico correlacionado e sensivel.,287,14,82.95566502463053,3.706223170537982,39.0,11.898745976565834,90.94999999999999,3.649372064362455,40.79653679653679,9.573273214485454,0.31194732516358936,0.11241600301780695,0.70625,0.08162396991742617
