scenario,modo,n_drops,drops,rationale,n_amostras,n_features,hard_positivos,hard_negativos,hard_acertos_base,hard_prob_media,sem_accuracy,sem_sensitivity,sem_specificity,sem_f1,sem_kappa,com_accuracy,com_sensitivity,com_specificity,com_f1,com_kappa,delta_sem_accuracy,delta_com_accuracy,delta_sem_sensitivity,delta_com_sensitivity,delta_sem_specificity,delta_com_specificity,delta_sem_f1,delta_com_f1,delta_sem_kappa,delta_com_kappa
sem_family_history_psych,amostras_validas,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,4,16,15,0.4332001805305481,96.7,93.0,97.625,91.85476190476192,0.898233394327995,97.35,94.625,98.03125,93.4031746031746,0.9177260375740411,3.5,4.449999999999989,8.700000000000003,9.825000000000003,1.4583333333333144,2.4312500000000057,6.186596736596741,8.102736152736156,0.085283329686754,0.11059963701381703
sem_family_history_psych,mesmas_linhas_baseline,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,4,16,15,0.4332001805305481,96.7,93.0,97.625,91.85476190476192,0.898233394327995,97.35,94.625,98.03125,93.4031746031746,0.9177260375740411,3.5,4.449999999999989,8.700000000000003,9.825000000000003,1.4583333333333144,2.4312500000000057,6.186596736596741,8.102736152736156,0.085283329686754,0.11059963701381703
sem_odd,amostras_validas,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,5,15,14,0.4293605387210846,95.15,82.8,99.26666666666668,88.85463702963705,0.8588205128205127,95.4,84.9,98.9,89.71690254190257,0.8684508187890542,1.9500000000000028,2.5,-1.5,0.10000000000000853,3.0999999999999943,3.3000000000000114,3.1864718614718726,4.416464091464121,0.04587044817927177,0.06132441822883006
sem_odd,mesmas_linhas_baseline,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,5,15,14,0.4293605387210846,95.15,82.8,99.26666666666668,88.85463702963705,0.8588205128205127,95.4,84.9,98.9,89.71690254190257,0.8684508187890542,1.9500000000000028,2.5,-1.5,0.10000000000000853,3.0999999999999943,3.3000000000000114,3.1864718614718726,4.416464091464121,0.04587044817927177,0.06132441822883006
sem_poverty_status,mesmas_linhas_baseline,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,287,16,4,16,14,0.37915167212486267,95.8,82.5,99.125,87.87063492063491,0.854697176245596,95.325,83.375,98.3125,86.99246031746031,0.8426076748894203,2.5999999999999943,2.424999999999997,-1.7999999999999972,-1.4249999999999972,2.9583333333333144,2.7125000000000057,2.2024697524697388,1.6920218670218645,0.04174711160435507,0.03548127432919623
sem_sensory,amostras_validas,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,5,15,11,0.4247475564479828,94.625,87.2,97.1,88.70063270063271,0.8524398028442147,94.0,86.0,96.66666666666666,87.41939171939171,0.8356310062486533,1.4249999999999972,1.0999999999999943,2.9000000000000057,1.2000000000000028,0.9333333333333087,1.0666666666666629,3.0324675324675354,2.1189532689532626,0.039489738202973745,0.028504605688429163
sem_sensory,mesmas_linhas_baseline,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,5,15,11,0.4247475564479828,94.625,87.2,97.1,88.70063270063271,0.8524398028442147,94.0,86.0,96.66666666666666,87.41939171939171,0.8356310062486533,1.4249999999999972,1.0999999999999943,2.9000000000000057,1.2000000000000028,0.9333333333333087,1.0666666666666629,3.0324675324675354,2.1189532689532626,0.039489738202973745,0.028504605688429163
sem_cd,amostras_validas,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,4,16,14,0.4186254143714905,95.025,86.375,97.1875,87.0866883116883,0.8410128037453373,94.775,86.25,96.90625,86.56100288600288,0.8341596084147063,1.8250000000000028,1.875,2.075000000000003,1.4500000000000028,1.0208333333333144,1.3062500000000057,1.4185231435231316,1.260564435564433,0.02806273910409629,0.027033207854482155
sem_cd,mesmas_linhas_baseline,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,4,16,14,0.4186254143714905,95.025,86.375,97.1875,87.0866883116883,0.8410128037453373,94.775,86.25,96.90625,86.56100288600288,0.8341596084147063,1.8250000000000028,1.875,2.075000000000003,1.4500000000000028,1.0208333333333144,1.3062500000000057,1.4185231435231316,1.260564435564433,0.02806273910409629,0.027033207854482155
sem_social_phobia,mesmas_linhas_baseline,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,287,16,4,16,13,0.40615564584732056,94.35,84.5,96.8125,85.37936507936509,0.8196046149857402,93.325,85.625,95.25,83.71154401154404,0.7959932934247373,1.1499999999999915,0.42499999999999716,0.20000000000000284,0.8250000000000028,0.6458333333333144,-0.3499999999999943,-0.28880008880008745,-1.588894438894414,0.006654550344499244,-0.011133107135486764
