scenario,modo,n_drops,drops,rationale,n_amostras,n_features,hard_positivos,hard_negativos,hard_acertos_base,hard_prob_media,sem_accuracy,sem_sensitivity,sem_specificity,sem_f1,sem_kappa,com_accuracy,com_sensitivity,com_specificity,com_f1,com_kappa,delta_sem_accuracy,delta_com_accuracy,delta_sem_sensitivity,delta_com_sensitivity,delta_sem_specificity,delta_com_specificity,delta_sem_f1,delta_com_f1,delta_sem_kappa,delta_com_kappa
sem_family_history_psych,mesmas_linhas_baseline,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,4,16,15,0.4332001805305481,96.7,93.0,97.625,91.85476190476192,0.898233394327995,97.35,94.625,98.03125,93.4031746031746,0.9177260375740411,3.5,4.449999999999989,8.700000000000003,9.825000000000003,1.4583333333333144,2.4312500000000057,6.186596736596741,8.102736152736156,0.085283329686754,0.11059963701381703
sem_odd,mesmas_linhas_baseline,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,5,15,14,0.4293605387210846,95.15,82.8,99.26666666666668,88.85463702963705,0.8588205128205127,95.4,84.9,98.9,89.71690254190257,0.8684508187890542,1.9500000000000028,2.5,-1.5,0.10000000000000853,3.0999999999999943,3.3000000000000114,3.1864718614718726,4.416464091464121,0.04587044817927177,0.06132441822883006
sem_poverty_status,mesmas_linhas_baseline,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,287,16,4,16,14,0.37915167212486267,95.8,82.5,99.125,87.87063492063491,0.854697176245596,95.325,83.375,98.3125,86.99246031746031,0.8426076748894203,2.5999999999999943,2.424999999999997,-1.7999999999999972,-1.4249999999999972,2.9583333333333144,2.7125000000000057,2.2024697524697388,1.6920218670218645,0.04174711160435507,0.03548127432919623
sem_sensory,mesmas_linhas_baseline,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,5,15,11,0.4247475564479828,94.625,87.2,97.1,88.70063270063271,0.8524398028442147,94.0,86.0,96.66666666666666,87.41939171939171,0.8356310062486533,1.4249999999999972,1.0999999999999943,2.9000000000000057,1.2000000000000028,0.9333333333333087,1.0666666666666629,3.0324675324675354,2.1189532689532626,0.039489738202973745,0.028504605688429163
sem_cd,mesmas_linhas_baseline,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,4,16,14,0.4186254143714905,95.025,86.375,97.1875,87.0866883116883,0.8410128037453373,94.775,86.25,96.90625,86.56100288600288,0.8341596084147063,1.8250000000000028,1.875,2.075000000000003,1.4500000000000028,1.0208333333333144,1.3062500000000057,1.4185231435231316,1.260564435564433,0.02806273910409629,0.027033207854482155
sem_social_phobia,mesmas_linhas_baseline,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,287,16,4,16,13,0.40615564584732056,94.35,84.5,96.8125,85.37936507936509,0.8196046149857402,93.325,85.625,95.25,83.71154401154404,0.7959932934247373,1.1499999999999915,0.42499999999999716,0.20000000000000284,0.8250000000000028,0.6458333333333144,-0.3499999999999943,-0.28880008880008745,-1.588894438894414,0.006654550344499244,-0.011133107135486764
sem_number_siblings,mesmas_linhas_baseline,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,5,15,11,0.4972766041755676,92.5,87.0,94.33333333333334,85.27693140193142,0.8032412620918812,92.225,87.5,93.79999999999998,84.93204573204572,0.7978595342995498,-0.7000000000000028,-0.6750000000000114,2.700000000000003,2.700000000000003,-1.8333333333333428,-1.8000000000000114,-0.3912337662337535,-0.3683927183927267,-0.009708802549359796,-0.0092668662606743
sem_bio_parents,mesmas_linhas_baseline,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,5,15,11,0.3836818337440491,93.05,79.4,97.6,84.45940170940172,0.8015349601379014,93.95,83.9,97.3,87.10557498057499,0.8323856658047833,-0.15000000000000568,1.0499999999999972,-4.8999999999999915,-0.8999999999999915,1.4333333333333087,1.7000000000000028,-1.2087634587634568,1.8051365301365365,-0.011415104503339601,0.025259265244559237
sem_4_fracas_redundantes,mesmas_linhas_baseline,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,287,13,4,16,13,0.41489315032958984,92.975,84.875,95.0,82.86432178932178,0.7856510296313618,93.375,86.0,95.21875,83.62766955266954,0.7956873154981223,-0.22500000000000853,0.4749999999999943,0.5750000000000028,1.2000000000000028,-1.1666666666666856,-0.3812499999999943,-2.8038433788433963,-1.6727688977689041,-0.02729903500987918,-0.011439085062101784
sem_irritable_mood,mesmas_linhas_baseline,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,5,15,11,0.4705885052680969,92.2,80.9,95.96666666666668,83.35595515595516,0.7839961427890995,92.25,83.0,95.33333333333334,83.9515762015762,0.7894835434173669,-1.0,-0.6500000000000057,-3.3999999999999915,-1.7999999999999972,-0.20000000000000284,-0.2666666666666515,-2.3122100122100164,-1.3488622488622468,-0.028953921852141518,-0.017642857142857182
sem_tantrums,mesmas_linhas_baseline,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,4,16,11,0.48120546340942383,93.025,82.125,95.75,82.23733766233767,0.7800763978203417,92.225,83.5,94.40625,81.07864357864356,0.7632819709217269,-0.17499999999999716,-0.6750000000000114,-2.174999999999997,-1.2999999999999972,-0.4166666666666856,-1.1937499999999943,-3.4308275058275086,-4.221794871794884,-0.03287366682089932,-0.04384442963849722
sem_4_mais_tantrums,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,287,12,3,17,15,0.35946494340896606,93.825,88.49999999999999,94.76470588235294,81.34523809523809,0.7781216692550363,93.35,88.49999999999999,94.20588235294119,80.31785714285714,0.7650176729051545,0.625,0.44999999999998863,4.199999999999989,3.6999999999999886,-1.4019607843137436,-1.3941176470588061,-4.3229270729270866,-4.982581307581313,-0.034828395386204636,-0.04210872765506957
sem_features_sensiveis,mesmas_linhas_baseline,4,Race; Sex; Poverty Status; Number of Bio. Parents,Teste de fairness: remove variaveis sensiveis ou proxy demografico.,287,13,5,15,11,0.4735960066318512,90.55,89.0,91.06666666666666,82.55514208014209,0.7620652819832386,89.8,85.3,91.3,80.71654456654457,0.7389881883252627,-2.6500000000000057,-3.1000000000000085,4.700000000000003,0.5,-5.100000000000023,-4.299999999999997,-3.113023088023084,-4.583893883893879,-0.05088478265800234,-0.06813821223496141
sem_4_cd_tantrums,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,287,11,4,16,12,0.39834064245224,92.175,84.625,94.0625,80.99819624819625,0.7617988173007473,90.975,80.5,93.59375,77.61778499278499,0.7211319745007837,-1.0250000000000057,-1.9250000000000114,0.32500000000000284,-4.299999999999997,-2.1041666666666856,-2.0062499999999943,-4.669968919968923,-7.682653457653458,-0.0511512473404937,-0.08599442605944041
sem_4_mais_cd,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,287,12,5,15,13,0.35956376791000366,91.075,79.1,95.06666666666668,80.98249528249528,0.7532348566466215,91.525,81.0,95.03333333333335,82.08538961038961,0.7666242189183364,-2.125,-1.375,-5.200000000000003,-3.799999999999997,-1.1000000000000085,-0.5666666666666487,-4.6856698856698955,-3.215048840048837,-0.05971520799461949,-0.04050218164188768
sem_sleep,mesmas_linhas_baseline,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,5,15,11,0.33147746324539185,89.9,79.3,93.43333333333334,79.27408702408702,0.7273677760577917,89.875,80.0,93.16666666666669,79.4511322011322,0.7287781458737341,-3.299999999999997,-3.0250000000000057,-5.0,-4.799999999999997,-2.7333333333333485,-2.4333333333333087,-6.394078144078151,-5.849306249306252,-0.0855822885834493,-0.07834825468648998
sem_age,mesmas_linhas_baseline,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,3,17,10,0.4085809588432312,90.85,78.33333333333331,93.05882352941175,71.48690476190475,0.6634016730487896,91.125,78.49999999999999,93.3529411764706,71.94761904761904,0.6697931728834942,-2.3500000000000085,-1.7750000000000057,-5.966666666666683,-6.300000000000011,-3.1078431372549318,-2.2470588235294002,-14.18126040626042,-13.352819402819406,-0.14954839159245137,-0.13733322767672995
