scenario,modo,n_drops,drops,rationale,n_amostras,n_features,hard_positivos,hard_negativos,hard_acertos_base,hard_prob_media,sem_accuracy,sem_sensitivity,sem_specificity,sem_f1,sem_kappa,com_accuracy,com_sensitivity,com_specificity,com_f1,com_kappa
baseline,amostras_validas,0,,Todas as features atuais; referencia para comparacao.,287,17,5,15,9,0.4840978682041168,93.2,84.3,96.16666666666669,85.66816516816517,0.812950064641241,92.9,84.8,95.6,85.30043845043845,0.8071264005602241
sem_poverty_status,amostras_validas,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,306,16,4,16,16,0.35528823733329773,91.35,85.375,92.84375,79.71940836940837,0.7440371886854602,91.85,87.625,92.90625,80.90866633366633,0.7589683243654227
sem_poverty_status,mesmas_linhas_baseline,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,287,16,4,16,14,0.37915167212486267,95.8,82.5,99.125,87.87063492063491,0.854697176245596,95.325,83.375,98.3125,86.99246031746031,0.8426076748894203
sem_number_siblings,amostras_validas,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,5,15,11,0.4972766041755676,92.5,87.0,94.33333333333334,85.27693140193142,0.8032412620918812,92.225,87.5,93.79999999999998,84.93204573204572,0.7978595342995498
sem_number_siblings,mesmas_linhas_baseline,1,Number of Siblings,Correlacao quase nula com GAD e baixa importancia.,287,16,5,15,11,0.4972766041755676,92.5,87.0,94.33333333333334,85.27693140193142,0.8032412620918812,92.225,87.5,93.79999999999998,84.93204573204572,0.7978595342995498
sem_family_history_psych,amostras_validas,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,4,16,15,0.4332001805305481,96.7,93.0,97.625,91.85476190476192,0.898233394327995,97.35,94.625,98.03125,93.4031746031746,0.9177260375740411
sem_family_history_psych,mesmas_linhas_baseline,1,Family History - Psychiatric Diagnosis,Correlacao fraca com GAD e baixa importancia.,287,16,4,16,15,0.4332001805305481,96.7,93.0,97.625,91.85476190476192,0.898233394327995,97.35,94.625,98.03125,93.4031746031746,0.9177260375740411
sem_bio_parents,amostras_validas,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,5,15,11,0.3836818337440491,93.05,79.4,97.6,84.45940170940172,0.8015349601379014,93.95,83.9,97.3,87.10557498057499,0.8323856658047833
sem_bio_parents,mesmas_linhas_baseline,1,Number of Bio. Parents,"Correlacao fraca com GAD, VIF moderado e redundancia com Race/Poverty.",287,16,5,15,11,0.3836818337440491,93.05,79.4,97.6,84.45940170940172,0.8015349601379014,93.95,83.9,97.3,87.10557498057499,0.8323856658047833
sem_4_fracas_redundantes,amostras_validas,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,306,13,4,16,12,0.37142351269721985,88.425,81.125,90.25,73.34704184704184,0.6622463719648871,87.275,81.375,88.75,71.74632867132867,0.6388984889288484
sem_4_fracas_redundantes,mesmas_linhas_baseline,4,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents,Primeira limpeza segura: baixa relacao com GAD e/ou redundancia.,287,13,4,16,13,0.41489315032958984,92.975,84.875,95.0,82.86432178932178,0.7856510296313618,93.375,86.0,95.21875,83.62766955266954,0.7956873154981223
sem_features_sensiveis,amostras_validas,4,Race; Sex; Poverty Status; Number of Bio. Parents,Teste de fairness: remove variaveis sensiveis ou proxy demografico.,306,13,5,15,8,0.5438936352729797,85.075,85.7,84.86666666666666,74.17439504939505,0.6408873002642352,84.4,86.0,83.86666666666666,73.35811410811411,0.6279453110528962
sem_features_sensiveis,mesmas_linhas_baseline,4,Race; Sex; Poverty Status; Number of Bio. Parents,Teste de fairness: remove variaveis sensiveis ou proxy demografico.,287,13,5,15,11,0.4735960066318512,90.55,89.0,91.06666666666666,82.55514208014209,0.7620652819832386,89.8,85.3,91.3,80.71654456654457,0.7389881883252627
sem_cd,amostras_validas,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,4,16,14,0.4186254143714905,95.025,86.375,97.1875,87.0866883116883,0.8410128037453373,94.775,86.25,96.90625,86.56100288600288,0.8341596084147063
sem_cd,mesmas_linhas_baseline,1,CD,CD e redundante com ODD; ODD tem maior sinal com GAD.,287,16,4,16,14,0.4186254143714905,95.025,86.375,97.1875,87.0866883116883,0.8410128037453373,94.775,86.25,96.90625,86.56100288600288,0.8341596084147063
sem_odd,amostras_validas,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,5,15,14,0.4293605387210846,95.15,82.8,99.26666666666668,88.85463702963705,0.8588205128205127,95.4,84.9,98.9,89.71690254190257,0.8684508187890542
sem_odd,mesmas_linhas_baseline,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,5,15,14,0.4293605387210846,95.15,82.8,99.26666666666668,88.85463702963705,0.8588205128205127,95.4,84.9,98.9,89.71690254190257,0.8684508187890542
sem_tantrums,amostras_validas,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,4,16,11,0.48120546340942383,93.025,82.125,95.75,82.23733766233767,0.7800763978203417,92.225,83.5,94.40625,81.07864357864356,0.7632819709217269
sem_tantrums,mesmas_linhas_baseline,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,4,16,11,0.48120546340942383,93.025,82.125,95.75,82.23733766233767,0.7800763978203417,92.225,83.5,94.40625,81.07864357864356,0.7632819709217269
sem_irritable_mood,amostras_validas,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,5,15,11,0.4705885052680969,92.2,80.9,95.96666666666668,83.35595515595516,0.7839961427890995,92.25,83.0,95.33333333333334,83.9515762015762,0.7894835434173669
sem_irritable_mood,mesmas_linhas_baseline,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,5,15,11,0.4705885052680969,92.2,80.9,95.96666666666668,83.35595515595516,0.7839961427890995,92.25,83.0,95.33333333333334,83.9515762015762,0.7894835434173669
sem_social_phobia,amostras_validas,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,288,16,4,16,9,0.5157979726791382,92.1,83.875,94.15625,80.80652958152957,0.7595815773039021,92.05,83.5,94.1875,80.60876623376623,0.7572607266494074
sem_social_phobia,mesmas_linhas_baseline,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,287,16,4,16,13,0.40615564584732056,94.35,84.5,96.8125,85.37936507936509,0.8196046149857402,93.325,85.625,95.25,83.71154401154404,0.7959932934247373
sem_sensory,amostras_validas,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,5,15,11,0.4247475564479828,94.625,87.2,97.1,88.70063270063271,0.8524398028442147,94.0,86.0,96.66666666666666,87.41939171939171,0.8356310062486533
sem_sensory,mesmas_linhas_baseline,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,5,15,11,0.4247475564479828,94.625,87.2,97.1,88.70063270063271,0.8524398028442147,94.0,86.0,96.66666666666666,87.41939171939171,0.8356310062486533
sem_sleep,amostras_validas,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,5,15,11,0.33147746324539185,89.9,79.3,93.43333333333334,79.27408702408702,0.7273677760577917,89.875,80.0,93.16666666666669,79.4511322011322,0.7287781458737341
sem_sleep,mesmas_linhas_baseline,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,5,15,11,0.33147746324539185,89.9,79.3,93.43333333333334,79.27408702408702,0.7273677760577917,89.875,80.0,93.16666666666669,79.4511322011322,0.7287781458737341
sem_age,amostras_validas,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,3,17,10,0.4085809588432312,90.85,78.33333333333331,93.05882352941175,71.48690476190475,0.6634016730487896,91.125,78.49999999999999,93.3529411764706,71.94761904761904,0.6697931728834942
sem_age,mesmas_linhas_baseline,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,3,17,10,0.4085809588432312,90.85,78.33333333333331,93.05882352941175,71.48690476190475,0.6634016730487896,91.125,78.49999999999999,93.3529411764706,71.94761904761904,0.6697931728834942
sem_4_mais_cd,amostras_validas,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,306,12,6,14,13,0.4060811996459961,89.8,84.83333333333334,91.92857142857142,83.26838161838161,0.7601750497785966,90.05,86.83333333333334,91.42857142857143,83.92447552447551,0.7679504127165739
sem_4_mais_cd,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,287,12,5,15,13,0.35956376791000366,91.075,79.1,95.06666666666668,80.98249528249528,0.7532348566466215,91.525,81.0,95.03333333333335,82.08538961038961,0.7666242189183364
sem_4_mais_tantrums,amostras_validas,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,306,12,6,14,14,0.33019697666168213,91.5,81.91666666666669,95.60714285714286,84.78043623043624,0.7898710603962826,91.325,82.08333333333334,95.28571428571429,84.58179598179599,0.7864297560436007
sem_4_mais_tantrums,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,287,12,3,17,15,0.35946494340896606,93.825,88.49999999999999,94.76470588235294,81.34523809523809,0.7781216692550363,93.35,88.49999999999999,94.20588235294119,80.31785714285714,0.7650176729051545
sem_4_cd_tantrums,amostras_validas,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,306,11,6,14,13,0.37774649262428284,92.275,83.25,96.14285714285715,86.21643356643355,0.8094330564553677,92.25,83.41666666666669,96.03571428571429,86.20441225441223,0.8091081737198729
sem_4_cd_tantrums,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,287,11,4,16,12,0.39834064245224,92.175,84.625,94.0625,80.99819624819625,0.7617988173007473,90.975,80.5,93.59375,77.61778499278499,0.7211319745007837
