condicao,metrica,N,sigma_media,sigma_min,sigma_max,amplitude_entre_sementes_pct,delta_vs_N_anterior_pct,delta_vs_N500_pct,erro_padrao_media
sem_smoothing,accuracy,50,2.1526,2.0072,2.3094,14.04,,2.17,0.3044
sem_smoothing,accuracy,100,2.1001,1.9793,2.2218,11.55,-2.44,-0.33,0.2100
sem_smoothing,accuracy,200,2.1167,2.0458,2.1855,6.60,0.79,0.46,0.1497
sem_smoothing,accuracy,500,2.1070,2.0041,2.2132,9.93,-0.46,0.00,0.0942
sem_smoothing,sensitivity,50,9.7599,8.6560,10.5837,19.75,,-4.06,1.3803
sem_smoothing,sensitivity,100,10.1520,9.5504,11.0151,14.43,4.02,-0.21,1.0152
sem_smoothing,sensitivity,200,10.1912,9.7846,10.5061,7.08,0.39,0.18,0.7206
sem_smoothing,sensitivity,500,10.1731,9.9524,10.4077,4.48,-0.18,0.00,0.4550
sem_smoothing,specificity,50,1.7114,1.4679,1.8512,22.40,,1.42,0.2420
sem_smoothing,specificity,100,1.6930,1.5967,1.8400,14.38,-1.07,0.34,0.1693
sem_smoothing,specificity,200,1.7244,1.5819,1.8024,12.79,1.85,2.19,0.1219
sem_smoothing,specificity,500,1.6874,1.6051,1.8113,12.22,-2.15,0.00,0.0755
sem_smoothing,f1,50,11.9253,10.7167,12.7455,17.01,,-3.63,1.6865
sem_smoothing,f1,100,12.3808,11.8176,13.1631,10.87,3.82,0.06,1.2381
sem_smoothing,f1,200,12.3837,12.0076,12.6499,5.19,0.02,0.08,0.8757
sem_smoothing,f1,500,12.3739,12.0976,12.5740,3.85,-0.08,0.00,0.5534
sem_smoothing,kappa,50,0.1212,0.1086,0.1301,17.68,,-3.22,0.0171
sem_smoothing,kappa,100,0.1255,0.1186,0.1341,12.36,3.62,0.28,0.0126
sem_smoothing,kappa,200,0.1255,0.1216,0.1282,5.32,-0.03,0.25,0.0089
sem_smoothing,kappa,500,0.1252,0.1223,0.1270,3.76,-0.25,0.00,0.0056
com_smoothing,accuracy,50,2.0962,1.9536,2.3906,20.85,,-3.72,0.2964
com_smoothing,accuracy,100,2.1171,1.8714,2.3373,22.00,1.00,-2.76,0.2117
com_smoothing,accuracy,200,2.1574,2.0754,2.2294,7.14,1.91,-0.91,0.1526
com_smoothing,accuracy,500,2.1773,2.0749,2.2344,7.32,0.92,0.00,0.0974
com_smoothing,sensitivity,50,10.1217,8.9204,11.2290,22.81,,-6.03,1.4314
com_smoothing,sensitivity,100,10.4563,9.3417,11.5856,21.46,3.31,-2.93,1.0456
com_smoothing,sensitivity,200,10.5798,10.1602,10.9363,7.34,1.18,-1.78,0.7481
com_smoothing,sensitivity,500,10.7717,10.5031,11.1824,6.31,1.81,0.00,0.4817
com_smoothing,specificity,50,1.8589,1.6198,1.9894,19.88,,0.43,0.2629
com_smoothing,specificity,100,1.8738,1.6525,1.9667,16.77,0.81,1.24,0.1874
com_smoothing,specificity,200,1.8873,1.8307,1.9453,6.07,0.72,1.97,0.1335
com_smoothing,specificity,500,1.8509,1.8011,1.9180,6.31,-1.93,0.00,0.0828
com_smoothing,f1,50,12.2992,11.2170,13.4641,18.27,,-5.26,1.7394
com_smoothing,f1,100,12.6773,11.4455,13.8106,18.66,3.07,-2.35,1.2677
com_smoothing,f1,200,12.7870,12.3542,13.1098,5.91,0.86,-1.50,0.9042
com_smoothing,f1,500,12.9822,12.6320,13.4085,5.98,1.53,0.00,0.5806
com_smoothing,kappa,50,0.1248,0.1136,0.1348,17.03,,-5.51,0.0177
com_smoothing,kappa,100,0.1286,0.1155,0.1391,18.34,3.06,-2.62,0.0129
com_smoothing,kappa,200,0.1300,0.1259,0.1328,5.34,1.10,-1.55,0.0092
com_smoothing,kappa,500,0.1321,0.1294,0.1359,4.98,1.58,0.00,0.0059
