AUC (IC 95%) - Comparativo - GAD
============================================================

Modelo                       AUC Media     Desvio       IC 95%
------------------------------------------------------------
XGBoost + SMOTE                 0.7514     0.1438       0.1029
SVM + SMOTE                     0.6784     0.0958       0.0685


AUC por fold:
------------------------------------------------------------

XGBoost + SMOTE:
  Fold  1: 0.7917
  Fold  2: 0.6833
  Fold  3: 0.8000
  Fold  4: 0.6583
  Fold  5: 0.9600
  Fold  6: 0.8900
  Fold  7: 0.4700   <-- AUC <= 0,50
  Fold  8: 0.8854
  Fold  9: 0.6667
  Fold 10: 0.7083

SVM + SMOTE:
  Fold  1: 0.6333
  Fold  2: 0.6500
  Fold  3: 0.7000
  Fold  4: 0.7000
  Fold  5: 0.7600
  Fold  6: 0.5400
  Fold  7: 0.5300
  Fold  8: 0.8125
  Fold  9: 0.6667
  Fold 10: 0.7917
